update,split,loss,ppl,lr,tps,gnorm,scale,tokens_seen,utc
1,train,6.99131852388382,,4.3010752688172043e-07,10076.306274828508,0.0,1.0,32768,2025-09-22T10:11:01.969627+00:00Z
2,train,6.991385942697526,,6.451612903225807e-07,9756.130277010456,0.0,1.0,65536,2025-09-22T10:11:05.835863+00:00Z
3,train,6.991550593972207,,8.602150537634409e-07,9501.796122289306,0.0,1.0,98304,2025-09-22T10:11:09.702511+00:00Z
4,train,7.0014505887627605,,1.0752688172043011e-06,9295.30618768206,0.0,1.0,131072,2025-09-22T10:11:13.571522+00:00Z
5,train,7.018528637701273,,1.2903225806451614e-06,9132.976907318147,0.0,1.0,163840,2025-09-22T10:11:17.434006+00:00Z
6,train,7.031703881097436,,1.5053763440860217e-06,9002.651732895105,0.0,1.0,196608,2025-09-22T10:11:21.297542+00:00Z
7,train,7.035555712884009,,1.7204301075268817e-06,8898.900160765566,0.0,1.0,229376,2025-09-22T10:11:25.170271+00:00Z
8,train,7.037287174915081,,1.935483870967742e-06,8809.762387782357,0.0,1.0,262144,2025-09-22T10:11:29.046667+00:00Z
9,train,7.027641498376255,,2.1505376344086023e-06,8744.612041911523,0.0,1.0,294912,2025-09-22T10:11:32.908991+00:00Z
10,train,7.040012386437647,,2.3655913978494625e-06,8687.723606097352,0.0,1.0,327680,2025-09-22T10:11:36.782200+00:00Z
11,train,7.056830793913954,,2.580645161290323e-06,8643.94828834708,0.0,1.0,360448,2025-09-22T10:11:40.651439+00:00Z
12,train,7.064689007666784,,2.795698924731183e-06,8608.639087543825,0.0,1.0,393216,2025-09-22T10:11:44.521339+00:00Z
13,train,7.070955551207433,,3.0107526881720433e-06,8581.902454903842,0.0,1.0,425984,2025-09-22T10:11:48.387790+00:00Z
14,train,7.071719649321172,,3.225806451612903e-06,8556.70458900574,0.0,1.0,458752,2025-09-22T10:11:52.262948+00:00Z
15,train,7.095848801332414,,3.4408602150537635e-06,8540.915367475478,0.0,1.0,491520,2025-09-22T10:11:56.128121+00:00Z
16,train,7.090364375052779,,3.6559139784946237e-06,8523.237202367516,0.0,1.0,524288,2025-09-22T10:12:00.004832+00:00Z
17,train,7.092462126914795,,3.870967741935484e-06,8513.673973736753,0.0,1.0,557056,2025-09-22T10:12:03.871071+00:00Z
18,train,7.099123630974414,,4.086021505376344e-06,8503.452606699386,0.0,1.0,589824,2025-09-22T10:12:07.743182+00:00Z
19,train,7.095943815160145,,4.3010752688172045e-06,8496.375055152304,0.0,1.0,622592,2025-09-22T10:12:11.612779+00:00Z
20,train,7.089522260411098,,4.516129032258065e-06,8489.780021556711,0.0,1.0,655360,2025-09-22T10:12:15.484510+00:00Z
21,train,7.09221671639399,,4.731182795698925e-06,8485.293519246461,0.0,1.0,688128,2025-09-22T10:12:19.354435+00:00Z
22,train,7.100169372128096,,4.946236559139785e-06,8480.883002024382,0.0,1.0,720896,2025-09-22T10:12:23.226237+00:00Z
23,train,7.108842407077533,,5.161290322580646e-06,8477.291322880888,0.0,1.0,753664,2025-09-22T10:12:27.098185+00:00Z
24,train,7.1003805885404185,,5.376344086021506e-06,8473.912651803623,0.0,1.0,786432,2025-09-22T10:12:30.971289+00:00Z
25,train,7.107813640507147,,5.591397849462366e-06,8471.728591725678,0.0,1.0,819200,2025-09-22T10:12:34.843205+00:00Z
26,train,7.104496572082119,,5.806451612903226e-06,8471.031322594146,0.0,1.0,851968,2025-09-22T10:12:38.712721+00:00Z
27,train,7.111016351280996,,6.021505376344087e-06,8470.00415134292,0.0,1.0,884736,2025-09-22T10:12:42.583310+00:00Z
28,train,7.106124167113055,,6.236559139784946e-06,8471.411220916218,0.0,1.0,917504,2025-09-22T10:12:46.448811+00:00Z
29,train,7.09357031387259,,6.451612903225806e-06,8467.515995435913,0.0,1.0,950272,2025-09-22T10:12:50.325793+00:00Z
30,train,7.096038176436747,,6.666666666666667e-06,8468.355793600704,0.0,1.0,983040,2025-09-22T10:12:54.193722+00:00Z
31,train,7.102044195371441,,6.881720430107527e-06,8466.487311774934,0.0,1.0,1015808,2025-09-22T10:12:58.067460+00:00Z
32,train,7.098791256938195,,7.096774193548387e-06,8468.439339980892,0.0,1.0,1048576,2025-09-22T10:13:01.933322+00:00Z
33,train,7.108323742801382,,7.3118279569892475e-06,8470.576605614939,0.0,1.0,1081344,2025-09-22T10:13:05.808056+00:00Z
34,train,7.107751563061267,,7.526881720430108e-06,8468.067914670559,0.0,1.0,1114112,2025-09-22T10:13:09.682243+00:00Z
