update,split,loss,ppl,lr,tps,gnorm,scale,tokens_seen,utc
1,train,11.157956004142761,,4.0000000000000003e-07,10803.728373670145,5.453886985778809,1.0,36864,2025-09-10T13:26:46.667675+00:00Z
2,train,11.157735347747803,,6e-07,11050.027142901423,4.9039740562438965,1.0,73728,2025-09-10T13:26:49.733054+00:00Z
3,train,11.156538712978364,,8.000000000000001e-07,11260.168701663635,4.912435531616211,1.0,110592,2025-09-10T13:26:52.780485+00:00Z
4,train,11.1543121945858,,1e-06,11424.90049969876,5.187927722930908,1.0,147456,2025-09-10T13:26:55.833186+00:00Z
5,train,11.150611324191093,,1.2e-06,11553.892672839085,5.047041893005371,1.0,184320,2025-09-10T13:26:58.889430+00:00Z
6,train,11.143261804950237,,1.4e-06,11652.872544296364,4.891458988189697,1.0,221184,2025-09-10T13:27:01.951004+00:00Z
7,train,11.134448911045789,,1.6000000000000001e-06,11734.306858570775,5.614546298980713,1.0,258048,2025-09-10T13:27:05.009740+00:00Z
8,train,11.124542330469012,,1.8e-06,11796.818812933627,5.273128509521484,1.0,294912,2025-09-10T13:27:08.070795+00:00Z
9,train,11.112586690275657,,2e-06,11844.87052342625,4.93081521987915,1.0,331776,2025-09-10T13:27:11.134335+00:00Z
10,train,11.09692631359886,,2.2e-06,11881.995817546142,5.164353370666504,1.0,368640,2025-09-10T13:27:14.199553+00:00Z
11,train,11.078401787841239,,2.4e-06,11909.966517670067,4.989384651184082,1.0,405504,2025-09-10T13:27:17.267977+00:00Z
12,train,11.057507941511798,,2.6e-06,11930.229485592148,4.761357307434082,1.0,442368,2025-09-10T13:27:20.339097+00:00Z
13,train,11.033400526095207,,2.8e-06,11947.118583412008,4.825433254241943,1.0,479232,2025-09-10T13:27:23.407848+00:00Z
14,train,11.00592050890515,,3e-06,11962.195971810153,4.67727518081665,1.0,516096,2025-09-10T13:27:26.475105+00:00Z
15,train,10.97793217248073,,3.2000000000000003e-06,11974.054296152826,4.350356101989746,1.0,552960,2025-09-10T13:27:29.543622+00:00Z
16,train,10.94837564003185,,3.4e-06,11984.56615477095,4.1259284019470215,1.0,589824,2025-09-10T13:27:32.608824+00:00Z
17,train,10.915452436551888,,3.6e-06,11994.117816873233,3.958195686340332,1.0,626688,2025-09-10T13:27:35.674584+00:00Z
18,train,10.881365867804384,,3.8e-06,12001.547550796464,3.841309070587158,1.0,663552,2025-09-10T13:27:38.739603+00:00Z
19,train,10.844643425063099,,4e-06,12007.554063770476,3.763390302658081,1.0,700416,2025-09-10T13:27:41.804989+00:00Z
